Thread: 1500 -- LS: (A = 27, B = 20) -- [A(0, 0) = (4, 8) = (4, 8) = B(2, 15)]
Thread: 1501 -- LS: (A = 27, B = 21) -- [A(0, 0) = (4, 4) = (4, 4) = B(2, 15)]
Thread: 6360 -- LS: (A = 75, B = 72) -- [A(0, 0) = (5, 11) = (5, 11) = B(1, 5)]
Thread: 1896 -- LS: (A = 77, B = 16) -- [A(0, 0) = (14, 15) = (14, 15) = B(2, 2)]
Thread: 271 -- LS: (A = 33, B = 7) -- [A(0, 0) = (1, 4) = (1, 4) = B(2, 8)]
Thread: 2294 -- LS: (A = 46, B = 30) -- [A(0, 0) = (14, 12) = (14, 12) = B(1, 5)]
Thread: 897 -- LS: (A = 32, B = 9) -- [A(0, 0) = (6, 5) = (6, 5) = B(1, 4)]
Thread: 903 -- LS: (A = 32, B = 15) -- [A(0, 0) = (6, 7) = (6, 7) = B(1, 4)]
Thread: 260 -- LS: (A = 32, B = 4) -- [A(0, 0) = (6, 0) = (6, 0) = B(1, 4)]
Thread: 172 -- LS: (A = 21, B = 4) -- [A(0, 0) = (4, 0) = (4, 0) = B(1, 4)]
Thread: 837 -- LS: (A = 24, B = 13) -- [A(0, 0) = (12, 2) = (12, 2) = B(2, 15)]
Thread: 3782 -- LS: (A = 72, B = 46) -- [A(0, 0) = (11, 14) = (11, 14) = B(1, 5)]
Thread: 1557 -- LS: (A = 34, B = 21) -- [A(0, 0) = (6, 4) = (6, 4) = B(1, 4)]
Thread: 4280 -- LS: (A = 55, B = 48) -- [A(0, 0) = (0, 6) = (0, 6) = B(1, 8)]
Thread: 2955 -- LS: (A = 49, B = 35) -- [A(0, 0) = (6, 15) = (6, 15) = B(2, 2)]
Thread: 2958 -- LS: (A = 49, B = 38) -- [A(0, 0) = (6, 5) = (6, 5) = B(2, 2)]
Thread: 492 -- LS: (A = 61, B = 4) -- [A(0, 0) = (15, 0) = (15, 0) = B(1, 4)]
Thread: 2546 -- LS: (A = 78, B = 26) -- [A(0, 0) = (5, 0) = (5, 0) = B(1, 6)]
Thread: 843 -- LS: (A = 25, B = 11) -- [A(0, 0) = (2, 3) = (2, 3) = B(2, 11)]
Thread: 1271 -- LS: (A = 78, B = 15) -- [A(0, 0) = (5, 7) = (5, 7) = B(2, 1)]
Thread: 2463 -- LS: (A = 67, B = 31) -- [A(0, 0) = (11, 3) = (11, 3) = B(1, 12)]
Thread: 1042 -- LS: (A = 50, B = 10) -- [A(0, 0) = (12, 9) = (12, 9) = B(2, 9)]
Thread: 3806 -- LS: (A = 75, B = 46) -- [A(0, 0) = (5, 14) = (5, 14) = B(1, 5)]
Thread: 560 -- LS: (A = 70, B = 0) -- [A(0, 0) = (14, 7) = (14, 7) = B(1, 14)]
Thread: 562 -- LS: (A = 70, B = 2) -- [A(0, 0) = (14, 7) = (14, 7) = B(1, 14)]
Thread: 567 -- LS: (A = 70, B = 7) -- [A(0, 0) = (14, 4) = (14, 4) = B(1, 14)]
Thread: 2417 -- LS: (A = 62, B = 25) -- [A(0, 0) = (1, 2) = (1, 2) = B(1, 7)]
Thread: 1645 -- LS: (A = 45, B = 21) -- [A(0, 0) = (4, 4) = (4, 4) = B(1, 4)]
Thread: 532 -- LS: (A = 66, B = 4) -- [A(0, 0) = (9, 0) = (9, 0) = B(2, 10)]
Thread: 534 -- LS: (A = 66, B = 6) -- [A(0, 0) = (9, 14) = (9, 14) = B(2, 10)]
Thread: 1612 -- LS: (A = 41, B = 20) -- [A(0, 0) = (13, 8) = (13, 8) = B(1, 13)]
Thread: 128 -- LS: (A = 16, B = 0) -- [A(0, 0) = (15, 7) = (15, 7) = B(3, 4)]
Thread: 131 -- LS: (A = 16, B = 3) -- [A(0, 0) = (15, 14) = (15, 14) = B(3, 4)]
Thread: 3611 -- LS: (A = 51, B = 43) -- [A(0, 0) = (3, 5) = (3, 5) = B(1, 9)]
Thread: 4357 -- LS: (A = 64, B = 53) -- [A(0, 0) = (15, 9) = (15, 9) = B(1, 7)]
Thread: 2479 -- LS: (A = 69, B = 31) -- [A(0, 0) = (9, 3) = (9, 3) = B(2, 9)]
Thread: 224 -- LS: (A = 28, B = 0) -- [A(0, 0) = (3, 7) = (3, 7) = B(3, 4)]
Thread: 227 -- LS: (A = 28, B = 3) -- [A(0, 0) = (3, 14) = (3, 14) = B(3, 4)]
Thread: 638 -- LS: (A = 79, B = 6) -- [A(0, 0) = (1, 14) = (1, 14) = B(1, 8)]
Thread: 3052 -- LS: (A = 61, B = 36) -- [A(0, 0) = (15, 15) = (15, 15) = B(2, 1)]
Thread: 1519 -- LS: (A = 29, B = 23) -- [A(0, 0) = (1, 14) = (1, 14) = B(1, 3)]
Thread: 2306 -- LS: (A = 48, B = 26) -- [A(0, 0) = (6, 0) = (6, 0) = B(2, 14)]
Thread: 2309 -- LS: (A = 48, B = 29) -- [A(0, 0) = (6, 1) = (6, 1) = B(2, 14)]
Thread: 1001 -- LS: (A = 45, B = 9) -- [A(0, 0) = (4, 5) = (4, 5) = B(1, 4)]
Thread: 1007 -- LS: (A = 45, B = 15) -- [A(0, 0) = (4, 7) = (4, 7) = B(1, 4)]
Thread: 1715 -- LS: (A = 54, B = 19) -- [A(0, 0) = (13, 13) = (13, 13) = B(3, 6)]
Thread: 1817 -- LS: (A = 67, B = 17) -- [A(0, 0) = (11, 8) = (11, 8) = B(2, 11)]
Thread: 1822 -- LS: (A = 67, B = 22) -- [A(0, 0) = (11, 8) = (11, 8) = B(2, 11)]
Thread: 484 -- LS: (A = 60, B = 4) -- [A(0, 0) = (2, 0) = (2, 0) = B(1, 4)]
Thread: 293 -- LS: (A = 36, B = 5) -- [A(0, 0) = (15, 5) = (15, 5) = B(2, 1)]
Thread: 3765 -- LS: (A = 70, B = 45) -- [A(0, 0) = (14, 4) = (14, 4) = B(2, 7)]
Thread: 5759 -- LS: (A = 79, B = 71) -- [A(0, 0) = (1, 8) = (1, 8) = B(1, 8)]
Thread: 2969 -- LS: (A = 51, B = 33) -- [A(0, 0) = (3, 1) = (3, 1) = B(1, 9)]
Thread: 2972 -- LS: (A = 51, B = 36) -- [A(0, 0) = (3, 15) = (3, 15) = B(1, 9)]
Thread: 3147 -- LS: (A = 73, B = 35) -- [A(0, 0) = (10, 15) = (10, 15) = B(2, 2)]
Thread: 3150 -- LS: (A = 73, B = 38) -- [A(0, 0) = (10, 5) = (10, 5) = B(2, 2)]
Thread: 2263 -- LS: (A = 42, B = 31) -- [A(0, 0) = (15, 3) = (15, 3) = B(2, 9)]
Thread: 549 -- LS: (A = 68, B = 5) -- [A(0, 0) = (10, 5) = (10, 5) = B(2, 1)]
Thread: 1880 -- LS: (A = 75, B = 16) -- [A(0, 0) = (5, 15) = (5, 15) = B(1, 5)]
Thread: 1886 -- LS: (A = 75, B = 22) -- [A(0, 0) = (5, 8) = (5, 8) = B(1, 5)]
Thread: 886 -- LS: (A = 30, B = 14) -- [A(0, 0) = (12, 13) = (12, 13) = B(1, 5)]
Thread: 3090 -- LS: (A = 66, B = 34) -- [A(0, 0) = (9, 6) = (9, 6) = B(2, 10)]
Thread: 3704 -- LS: (A = 63, B = 40) -- [A(0, 0) = (15, 9) = (15, 9) = B(1, 3)]
Thread: 2236 -- LS: (A = 39, B = 28) -- [A(0, 0) = (5, 3) = (5, 3) = B(2, 3)]
Thread: 5736 -- LS: (A = 77, B = 64) -- [A(0, 0) = (14, 15) = (14, 15) = B(1, 7)]
Thread: 4307 -- LS: (A = 58, B = 51) -- [A(0, 0) = (6, 3) = (6, 3) = B(1, 9)]
Thread: 5029 -- LS: (A = 68, B = 61) -- [A(0, 0) = (10, 15) = (10, 15) = B(2, 1)]
Thread: 477 -- LS: (A = 59, B = 5) -- [A(0, 0) = (9, 5) = (9, 5) = B(1, 6)]
Thread: 471 -- LS: (A = 58, B = 7) -- [A(0, 0) = (6, 4) = (6, 4) = B(2, 8)]
Thread: 3188 -- LS: (A = 78, B = 36) -- [A(0, 0) = (5, 15) = (5, 15) = B(2, 1)]
Thread: 2279 -- LS: (A = 44, B = 31) -- [A(0, 0) = (14, 3) = (14, 3) = B(1, 12)]
Thread: 393 -- LS: (A = 49, B = 1) -- [A(0, 0) = (6, 7) = (6, 7) = B(1, 15)]
Thread: 395 -- LS: (A = 49, B = 3) -- [A(0, 0) = (6, 14) = (6, 14) = B(1, 15)]
Thread: 1102 -- LS: (A = 57, B = 14) -- [A(0, 0) = (0, 13) = (0, 13) = B(1, 5)]
Thread: 822 -- LS: (A = 22, B = 14) -- [A(0, 0) = (8, 13) = (8, 13) = B(1, 5)]
Thread: 4461 -- LS: (A = 77, B = 53) -- [A(0, 0) = (14, 9) = (14, 9) = B(1, 7)]
Thread: 2193 -- LS: (A = 34, B = 25) -- [A(0, 0) = (6, 2) = (6, 2) = B(3, 6)]
Thread: 1567 -- LS: (A = 35, B = 23) -- [A(0, 0) = (15, 14) = (15, 14) = B(1, 3)]
Thread: 159 -- LS: (A = 19, B = 7) -- [A(0, 0) = (13, 4) = (13, 4) = B(3, 6)]
Thread: 1121 -- LS: (A = 60, B = 9) -- [A(0, 0) = (2, 5) = (2, 5) = B(1, 4)]
Thread: 1127 -- LS: (A = 60, B = 15) -- [A(0, 0) = (2, 7) = (2, 7) = B(1, 4)]
Thread: 1574 -- LS: (A = 36, B = 22) -- [A(0, 0) = (15, 8) = (15, 8) = B(3, 10)]
Thread: 2513 -- LS: (A = 74, B = 25) -- [A(0, 0) = (5, 2) = (5, 2) = B(1, 7)]
Thread: 805 -- LS: (A = 20, B = 13) -- [A(0, 0) = (8, 2) = (8, 2) = B(2, 15)]
Thread: 213 -- LS: (A = 26, B = 5) -- [A(0, 0) = (0, 5) = (0, 5) = B(1, 6)]
Thread: 1700 -- LS: (A = 52, B = 20) -- [A(0, 0) = (11, 8) = (11, 8) = B(2, 15)]
Thread: 1701 -- LS: (A = 52, B = 21) -- [A(0, 0) = (11, 4) = (11, 4) = B(2, 15)]
Thread: 4472 -- LS: (A = 79, B = 48) -- [A(0, 0) = (1, 6) = (1, 6) = B(1, 8)]
Thread: 4479 -- LS: (A = 79, B = 55) -- [A(0, 0) = (1, 0) = (1, 0) = B(1, 8)]
Thread: 523 -- LS: (A = 65, B = 3) -- [A(0, 0) = (14, 14) = (14, 14) = B(2, 11)]
Thread: 124 -- LS: (A = 15, B = 4) -- [A(0, 0) = (7, 0) = (7, 0) = B(1, 4)]
Thread: 1080 -- LS: (A = 55, B = 8) -- [A(0, 0) = (0, 11) = (0, 11) = B(2, 13)]
Thread: 5732 -- LS: (A = 76, B = 68) -- [A(0, 0) = (1, 10) = (1, 10) = B(1, 2)]
Thread: 5733 -- LS: (A = 76, B = 69) -- [A(0, 0) = (1, 9) = (1, 9) = B(1, 2)]
Thread: 507 -- LS: (A = 63, B = 3) -- [A(0, 0) = (15, 14) = (15, 14) = B(2, 11)]
Thread: 3702 -- LS: (A = 62, B = 46) -- [A(0, 0) = (1, 14) = (1, 14) = B(2, 13)]
Thread: 186 -- LS: (A = 23, B = 2) -- [A(0, 0) = (14, 7) = (14, 7) = B(2, 6)]
Thread: 2205 -- LS: (A = 35, B = 29) -- [A(0, 0) = (15, 1) = (15, 1) = B(1, 3)]
Thread: 2849 -- LS: (A = 36, B = 33) -- [A(0, 0) = (15, 1) = (15, 1) = B(1, 9)]
Thread: 203 -- LS: (A = 25, B = 3) -- [A(0, 0) = (2, 14) = (2, 14) = B(2, 11)]
Thread: 779 -- LS: (A = 17, B = 11) -- [A(0, 0) = (8, 3) = (8, 3) = B(1, 1)]
Thread: 1476 -- LS: (A = 24, B = 20) -- [A(0, 0) = (12, 8) = (12, 8) = B(2, 15)]
Thread: 1477 -- LS: (A = 24, B = 21) -- [A(0, 0) = (12, 4) = (12, 4) = B(2, 15)]
Thread: 5683 -- LS: (A = 70, B = 67) -- [A(0, 0) = (14, 11) = (14, 11) = B(3, 1)]
Thread: 4425 -- LS: (A = 73, B = 49) -- [A(0, 0) = (10, 6) = (10, 6) = B(2, 2)]
Thread: 1541 -- LS: (A = 32, B = 21) -- [A(0, 0) = (6, 4) = (6, 4) = B(1, 4)]
Thread: 3108 -- LS: (A = 68, B = 36) -- [A(0, 0) = (10, 15) = (10, 15) = B(2, 1)]
Thread: 276 -- LS: (A = 34, B = 4) -- [A(0, 0) = (6, 0) = (6, 0) = B(1, 4)]
Thread: 998 -- LS: (A = 44, B = 14) -- [A(0, 0) = (14, 13) = (14, 13) = B(2, 10)]
Thread: 3038 -- LS: (A = 59, B = 38) -- [A(0, 0) = (9, 5) = (9, 5) = B(3, 7)]
Thread: 3730 -- LS: (A = 66, B = 42) -- [A(0, 0) = (9, 15) = (9, 15) = B(1, 11)]
Thread: 3667 -- LS: (A = 58, B = 43) -- [A(0, 0) = (6, 5) = (6, 5) = B(1, 9)]
Thread: 774 -- LS: (A = 16, B = 14) -- [A(0, 0) = (15, 13) = (15, 13) = B(1, 5)]
Thread: 416 -- LS: (A = 52, B = 0) -- [A(0, 0) = (11, 7) = (11, 7) = B(1, 14)]
Thread: 418 -- LS: (A = 52, B = 2) -- [A(0, 0) = (11, 7) = (11, 7) = B(1, 14)]
Thread: 423 -- LS: (A = 52, B = 7) -- [A(0, 0) = (11, 4) = (11, 4) = B(1, 14)]
Thread: 1061 -- LS: (A = 52, B = 13) -- [A(0, 0) = (11, 2) = (11, 2) = B(2, 15)]
Thread: 761 -- LS: (A = 15, B = 9) -- [A(0, 0) = (7, 5) = (7, 5) = B(1, 4)]
Thread: 1827 -- LS: (A = 68, B = 19) -- [A(0, 0) = (10, 13) = (10, 13) = B(1, 2)]
Thread: 2530 -- LS: (A = 76, B = 26) -- [A(0, 0) = (1, 0) = (1, 0) = B(2, 14)]
Thread: 2533 -- LS: (A = 76, B = 29) -- [A(0, 0) = (1, 1) = (1, 1) = B(2, 14)]
Thread: 2502 -- LS: (A = 72, B = 30) -- [A(0, 0) = (11, 12) = (11, 12) = B(1, 5)]
Thread: 3653 -- LS: (A = 56, B = 45) -- [A(0, 0) = (6, 4) = (6, 4) = B(1, 4)]
Thread: 2211 -- LS: (A = 36, B = 27) -- [A(0, 0) = (15, 4) = (15, 4) = B(1, 9)]
Thread: 935 -- LS: (A = 36, B = 15) -- [A(0, 0) = (15, 7) = (15, 7) = B(2, 1)]
Thread: 179 -- LS: (A = 22, B = 3) -- [A(0, 0) = (8, 14) = (8, 14) = B(2, 11)]
Thread: 965 -- LS: (A = 40, B = 13) -- [A(0, 0) = (9, 2) = (9, 2) = B(1, 3)]
Thread: 974 -- LS: (A = 41, B = 14) -- [A(0, 0) = (13, 13) = (13, 13) = B(2, 10)]
Thread: 3157 -- LS: (A = 74, B = 37) -- [A(0, 0) = (5, 10) = (5, 10) = B(3, 9)]
Thread: 3685 -- LS: (A = 60, B = 45) -- [A(0, 0) = (2, 4) = (2, 4) = B(1, 4)]
Thread: 877 -- LS: (A = 29, B = 13) -- [A(0, 0) = (1, 2) = (1, 2) = B(1, 3)]
Thread: 2890 -- LS: (A = 41, B = 34) -- [A(0, 0) = (13, 6) = (13, 6) = B(2, 10)]
